Ê³ÎïÃû³Æ,ÄÜÁ¿£¨Ç§¿¨£©,µ°°×ÖÊ£¨¿Ë£©,Ö¬·¾£¨¿Ë£©,Ì¼Ë®»¯ºÏÎï£¨¿Ë£©,´ÖÏËÎ¬£¨¿Ë£©,µ¥²»±¥ºÍÖ¬·¾Ëá£¨¿Ë£©,¶à²»±¥ºÍÖ¬·¾Ëá£¨¿Ë£©,ºúÂÜ²·ËØ£¨Î¢¿Ë£©,Ò¶»ÆËØÀà£¨Î¢¿Ë£©,¸Æ£¨ºÁ¿Ë£©,Ã¾£¨ºÁ¿Ë£©,ÄÆ£¨ºÁ¿Ë£©,¼Ø£¨ºÁ¿Ë£©,Á×£¨ºÁ¿Ë£©,Áò£¨ºÁ¿Ë£©,ÂÈ£¨ºÁ¿Ë£©,Ìú£¨ºÁ¿Ë£©,Ð¿£¨ºÁ¿Ë£©,Îø£¨Î¢¿Ë£©,Í­£¨ºÁ¿Ë£©,ÃÌ£¨ºÁ¿Ë£©,Î¬ÉúËØA£¨Î¢¿Ë£©,Î¬ÉúËØC£¨ºÁ¿Ë£©,Î¬ÉúËØE£¨ºÁ¿Ë£©,Î¬ÉúËØB1£¨Áò°·ËØ£©£¨ºÁ¿Ë£©,Î¬ÉúËØB2£¨ºË»ÆËØ£©£¨ºÁ¿Ë£©,Î¬ÉúËØB3£¨ÑÌËá£©£¨ºÁ¿Ë£©,Î¬ÉúËØB4£¨µ¨¼î£©£¨ºÁ¿Ë£©,Î¬ÉúËØB5£¨·ºËá£©£¨ºÁ¿Ë£©,Î¬ÉúËØB6£¨ºÁ¿Ë£©,Î¬ÉúËØB9£¨Ò¶Ëá£©£¨Î¢¿Ë£©,Î¬ÉúËØB12£¨Î¢¿Ë£©,Î¬ÉúËØB14£¨Ìð²Ë¼î£©£¨ºÁ¿Ë£©,ÁÁ°±Ëá£¨ºÁ¿Ë£©,µ°°±Ëá£¨ºÁ¿Ë£©,ËÕ°±Ëá£¨ºÁ¿Ë£©,Àµ°±Ëá£¨ºÁ¿Ë£©,É«°±Ëá£¨ºÁ¿Ë£©,çÓ°±Ëá£¨ºÁ¿Ë£©,×é°±Ëá£¨ºÁ¿Ë£©,ÒìÁÁ°±Ëá£¨ºÁ¿Ë£©
¶¹Ôü,76,3.52,1.73,12.23,0,0.295,0.755,0,0,80,26,9,213,60,20.5651,13.878,1.3,0.56,10.6,0.2,0.404,0,0,0,0.02,0.02,0.1,0,0.088,0.115,26,0,0,244,41,131,212,50,162,93,159
¶¹¸¯£¨MORI-NU£©,62,6.9,2.7,2.4,0.1,0.539,1.485,0,0,32,27,36,194,90,49.5008,55.512,1.03,0.61,0,0.203,0,0,0,0,0.101,0.041,0.247,0,0,0.011,0,0,0,586,106,286,459,85,385,169,349
¶¹¸¯£¨ÓÍÕ¨£©,270,18.82,20.18,8.86,3.9,4.456,11.39,16,0,372,60,16,146,287,110.864,24.672,4.87,1.99,28.5,0.398,1.495,8.1,0,0.04,0.17,0.05,0.1,106.3,0.14,0.099,27,0,0,1306,220,701,1131,268,867,499,852
¶¹¸¯£¨Ó²£©,83,9.98,5.26,1.18,1,1.318,2.657,0,0,282,35,4,130,111,35.0461,6.168,2.04,1.07,13,0.2,0.666,0,0,0.01,0.048,0.048,0.241,33,0.844,0.083,9,0,0,804,122,453,510,135,503,249,490
¶¹¸¯ËáÄÌ,94,3.5,1.8,15.96,0.2,0.4,1.017,20,0,118,40,35,47,38,0.00642,53.97,1.06,0.31,13,0.075,0,9.9,2.5,0.31,0.06,0.02,0.24,48.4,0,0.02,6,0,0,0,0,0,0,0,0,0,0
¶¹¸¯£¨¸É¶³£©,477,52.47,30.34,10.03,7.2,6.701,17.128,0,0,364,59,6,20,483,308.869,9.252,9.73,4.9,54.3,1.179,3.689,155.4,0.7,0,0.494,0.317,1.189,0,0.415,0.286,92,0,0,3644,613,1956,3157,747,2418,1394,2376
¶¹¸¯£¨Èí£©,61,7.17,3.69,1.18,0.2,0.814,2.081,4,0,111,27,8,120,92,42.362,12.336,1.11,0.64,8.9,0.157,0.389,2.1,0.2,0.01,0.047,0.037,0.535,27.4,0.051,0.052,44,0,0.4,498,84,268,431,102,331,191,324
¶¹ôù,192,20.29,10.8,7.64,0,3.205,4.3,0,0,111,81,9,412,266,89.1643,13.878,2.7,1.14,0,0.56,1.3,0,0,0,0.078,0.358,2.64,0,0.278,0.215,24,0.08,0,1430,175,796,908,194,920,466,880
¶¹ôù£¨Êì£©,195,19.91,11.38,7.62,0,3.745,2.638,0,0,96,77,14,401,253,0.005778,21.588,2.13,1.57,0,0.54,1.285,0,0,0,0.054,0.357,2.135,0,0.453,0.199,21,0.14,0,0,0,0,0,0,0,0,0
¶¹½¬£¨ÇÉÁ¦¡¢¼Ó¸Æ¡¢Î¬ÉúËØAºÍD£©,63,2.26,1.53,9.95,0.4,0.379,0.836,2,0,126,15,53,143,51,4.08735,81.726,0.48,0.34,4.8,0.206,0,70.5,1.7,0.11,0.022,0.262,0.513,23.6,0.089,0.077,11,0.7,0,130,19,75,92,27,81,43,80
Ñ©¸â£¨±ù¹÷£©,47,0.8,0.2,10.5,0,0,0,0,0,31,0,20.4,0,13,0,31.46,0.9,0,0.25,0.02,0.1,0,0,0.11,0.01,0.01,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
±ù¼¤Áè£¨±ùä¿ÁÜ£©,127,2.4,5.3,17.3,0.7,2.969,0.452,0,0,126,12,54.2,125,67,25.16,83.58,0.5,0.37,1.73,0.02,0.05,48,0,0.24,0.01,0.03,0.2,26,0.581,0.048,5,0.39,0,211,81,90,159,27,150,51,104
ÊíÆ¬,615,4,48.4,41.9,1.9,18.963,8.282,50,0,11,34,60.9,620,88,47.42,93.91,1.2,1.42,0.4,0.28,0.18,8,21.6,5.22,0.09,0.05,6.4,12.1,0.956,0.531,29,0,0,419,110,253,424,108,392,153,283
ËÕ´ò±ý¸É,408,8.4,7.7,76.2,0,0,0,0,0,0,20,312.2,82,69,0,481.41,1.6,0.35,39.33,0.18,0,0,0,1.01,0.03,0.01,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
²¤ÂÜ¶¹,392,10.4,2.1,82.9,0.1,0,0,0,0,19,4,30,38,100,0,46.26,9,2.01,4.1,0.06,2.63,0,0,0.41,0,0.04,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÄÌÓÍ±ý¸É,431,8.5,13.1,70.2,1,0,0,0,0,49,32,196.4,110,105,0.01,302.85,2.1,1.52,20.6,1.15,0.59,22,0,7.23,0.09,0.02,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¸ÆÄÌ±ý¸É,446,8.4,13.2,73.9,0.9,0,0,0,0,115,61,112.2,83,267,0.01,173.01,3.5,3.3,12.42,0.96,0.59,0,3,1.67,0.06,0.03,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
±ý¸É,435,9,12.7,71.7,1.1,1.3,5.8,80,0,73,50,204.1,85,88,37.36,314.72,1.9,0.91,12.47,0.23,0.87,37,3,4.57,0.08,0.04,4.7,0,0,0,0,0,0,491,93,183,136,100,333,141,292
ÂóÆ¬,368,12.4,7.4,67.3,8.6,0,0,0,0,8,108,20.9,306,339,0.02,32.23,4.2,2.15,6.13,0.44,3.06,0,0,1.45,0.2,0.06,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ãæ°ü,313,8.3,5.1,58.6,0.5,1.8,1.2,0,0,49,31,230.4,88,107,0,355.28,2,0.75,3.15,0.27,0.37,0,0,1.66,0.03,0.06,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÂÌ¶¹¸â,351,12.8,1,73.4,1.2,0,0,280,0,24,87,11.6,416,121,0.02,17.89,7.3,1.04,4.96,0.34,0.78,47,0,3.68,0.23,0.02,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
·½±ãÃæ,473,9.5,21.1,61.6,0.7,0,0,0,0,25,38,1144,134,80,83.02,1764.05,4.1,1.06,10.49,0.29,0.79,0,0,2.28,0.12,0.06,0.9,0,0,0,0,0,0,577,134,219,202,116,341,222,302
ÑàÂóÆ¬,377,15,6.7,66.9,5.3,0,0,0,0,186,177,3.7,214,291,158.24,5.71,7,2.59,4.31,0.45,3.36,0,0,3.07,0.3,0.13,1.2,0,0,0,0,0,0,1071,295,482,523,253,707,293,562
ÌÒËÖ,483,7.1,21.8,65.1,1.1,0,0,0,0,48,59,33.9,90,87,0,52.27,3.1,0.69,15.74,0.27,0.84,0,0,14.14,0.02,0.05,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ã×»¨ÌÇ,385,3.1,3.3,85.8,0.3,0,0,0,0,144,42,43.4,55,52,0.01,66.92,5.4,0,2.3,0.31,0.56,0,0,2.16,0.05,0.09,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Âé»¨,527,8.3,31.5,53.4,1.5,0,0,0,0,26,67,99.2,213,136,0.01,152.97,0,3.06,7.2,0.23,1.01,0,0,21.6,0.05,0.01,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
µ°»ÆËÖ,388,11.7,3.9,76.9,0.8,0,0,200,0,47,38,100,105,181,0.02,154.2,3,1.46,11.7,0.53,0.64,33,0,1.08,0.15,0.04,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
½­Ã×Ìõ,440,5.7,11.7,78.1,0.4,0,0,0,0,33,31,46.5,68,56,20.66,71.7,2.5,0.84,6.26,0.19,0.71,0,0,14.32,0.18,0.03,2.5,0,0,0,0,0,0,354,96,136,80,62,277,101,216
ÔÂ±ý£¨ÔæÄà£©,427,7.1,15.7,64.9,1.4,0,0,50,0,66,23,24.3,178,62,0.01,37.47,2.8,0.81,2.43,0.18,0.36,8,0,1.49,0.11,0.05,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÔÂ±ý£¨ÎåÈÊ£©,424,8,16,64,3.9,0,0,40,0,54,27,18.5,198,110,0,28.53,2.8,0.61,7,0.22,0.38,7,0,8.82,0,0.08,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÔÂ±ý,435,5.1,22.1,55.3,3,0,0,510,0,31,14,11.1,120,72,22.47,17.12,2.1,0.54,2.6,0.23,0.28,85,0,0.79,0.13,0.04,2.8,0,0,0,0,0,0,305,61,137,113,50,235,107,192
¼å±ý,354,7.6,0.7,83.8,9.1,0,0,0,0,9,86,85.5,117,320,0.01,131.84,7,1.62,3.75,0.41,0.75,0,0,0,0.1,0.04,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Õ¨¸â,282,6.1,12.3,37.3,1.2,0,0,0,0,24,62,96.6,143,84,0,148.96,2.4,0.76,2.3,0.1,0.45,0,0,3.61,0.03,0.02,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÏãÓÍ³´Ãæ,410,12.4,4.8,80.1,1.5,0,0,100,0,16,0,46.4,154,149,0.03,71.55,2.9,1.38,36.8,3.2,0.43,17,0,2.81,0.25,0.09,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Äê¸â,156,3.3,0.6,34.7,0.8,0,0,0,0,31,43,56.4,81,52,39.6,86.97,1.6,1.36,2.3,0.14,0.38,0,0,1.15,0.03,0,1.9,0,0,0,0,0,0,279,60,109,161,49,185,79,130
ÃÛÈýµ¶,427,4.4,14.2,70.7,0.8,0,0,0,0,4,21,47.5,53,71,48.63,73.24,1.6,1.38,8.65,0.07,0.29,0,0,8.33,0.06,0,0.2,0,0,0,0,0,0,298,56,114,64,9,183,81,149
Çàïý³´Ãæ,366,11.8,2.2,77,4.7,0,0,0,0,8,134,7.5,162,430,73.49,11.56,7.7,2.51,0,0.33,0.91,0,0,0.43,0.08,0.1,1.4,0,0,0,0,0,0,748,40,376,393,134,550,226,382
µ°¸â£¨¾ùÖµ£©,348,8.6,5.1,67.1,0.4,0,0,190,0,39,24,67.8,77,130,0.01,104.55,2.5,1.01,14.07,1.21,1,86,0,2.8,0.09,0.09,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÄÌÓÍµ°¸â,379,7.2,13.9,56.5,0.6,3.7,1.4,370,0,38,19,80.7,67,90,48.26,124.44,2.3,1.88,8.06,0.17,1.19,175,0,3.31,0.13,0.11,1.4,0,0,0,0,0,0,494,130,233,271,75,366,135,314
´ó¶¹£¨Êì£©,172,18.21,8.97,8.36,6,1.981,5.064,5,0,102,86,1,515,245,119.733,1.542,5.14,1.15,7.3,0.407,0.824,2.7,1.7,0.35,0.155,0.285,0.399,47.5,0.179,0.234,54,0,0,1355,224,723,1108,242,831,449,807
´ó¶¹Å¨Ëõµ°°×,328,63.63,0.46,25.41,5.5,0.079,0.201,0,0,363,315,3,2202,839,411.606,4.626,10.78,4.4,0.8,0.976,4.19,0,0,0,0.316,0.142,0.716,0,0.057,0.134,340,0,0,4917,814,2474,3929,835,3064,1578,2942
¶¹½¬£¨ÍÑÖ¬¡¢¼Ó¸Æ¡¢Î¬ÉúËØAºÍD£©,28,2.47,0.04,4.14,0.2,0,0.036,1,0,116,10,57,105,87,0.002354,87.894,0.35,0.1,1.8,0.125,0,61.8,0,0.08,0.022,0.174,0.323,17.9,0,0.024,7,0.23,0,0,0,0,0,0,0,0,0
¶¹ÆÉ,337,49.2,2.39,35.89,0,0.409,1.045,0,0,244,306,3,2490,701,323.672,4.626,13.7,5.06,3.3,2,3.8,12,0,0,0.691,0.251,2.587,0,1.976,0.569,303,0,0,3660,606,1952,2991,653,2243,1212,2180
¶¹½¬£¨µÍÖ¬¡¢¼Ó¸Æ¡¢Î¬ÉúËØAºÍD£©,43,1.65,0.62,7.2,0.8,0.206,0.412,0,0,82,0,37,64,62,0,57.054,0.44,0,0,0,0,61.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
´ó¶¹·ÖÀëµ°°×,335,88.32,3.39,0,0,0.645,1.648,0,0,178,39,1005,81,776,522.251,1549.71,14.5,4.03,0.8,1.599,1.493,0,0,0,0.176,0.1,1.438,190.9,0.06,0.1,176,0,0,6783,1130,3137,5327,1116,4098,2303,4253
´ó¶¹£¨¸É¿¾£©,449,43.32,21.62,28.98,8.1,4.776,12.207,0,0,140,228,2,1364,649,285.202,3.084,3.95,4.77,19.3,1.079,2.184,0,4.6,0,0.427,0.755,1.056,0,0.473,0.225,205,0,0,3223,534,1719,2634,575,1976,1068,1920
´ó¶¹·Û,439,38.09,21.86,30.38,9.7,4.829,12.341,73,0,188,369,12,2041,476,250.666,18.504,5.82,3.58,7.5,2.221,2.077,36.6,0,1.98,0.412,0.941,3.286,0,1.209,0.351,227,0,0,2834,469,1511,2316,506,1737,938,1688
»Æ¶¹,345,22,2.6,60.7,25.1,0.226,1.118,0,0,166,222,12,1042,488,135.052,18.504,7.01,2.83,12.8,0.639,1.286,1.8,0,0,0.69,0.33,2.43,0,0.734,0.442,389,0,0,1756,331,926,1510,260,1151,612,972
´ó¶¹·Û,434,37.81,20.65,31.92,9.6,4.561,11.657,72,0,206,429,13,2515,494,248.704,20.046,6.37,3.92,7.5,2.92,2.275,36,0,1.95,0.581,1.16,4.32,190.6,1.59,0.461,345,0,0,2812,466,1500,2298,502,1724,931,1675
´ó¶¹£¨ÂÌÉ«¡¢Êì£©,141,12.35,6.4,11.05,4.2,1.209,3.011,0,0,145,60,14,539,158,62.4488,21.588,2.5,0.91,1.4,0.117,0.502,46.8,17,0,0.26,0.155,1.25,0,0.128,0.06,111,0,0,883,150,492,739,150,549,332,543
¶¹Àà£¨ºæ±º£¬¹Þ×°£©,94,4.75,0.37,21.14,4.1,0.095,0.121,65,16,34,27,343,224,74,19.9943,528.906,1.19,2.28,5,0.145,0.109,32.4,0,0.15,0.096,0.039,0.428,31.5,0.216,0.084,12,0,0.1,405,47,149,298,51,260,132,226
´ó¶¹·Û£¨ÍÑÖ¬£©,327,51.46,1.22,33.92,17.5,0.208,0.533,24,0,241,290,20,2384,674,338.504,30.84,9.24,2.46,1.7,4.065,3.018,12,0,0.12,0.698,0.253,2.612,11.3,1.995,0.574,305,0,0,3828,634,2042,3129,683,2346,1268,2281
¶¹Àà£¨°×É«¡¢Êì£©,139,9.73,0.35,25.09,6.3,0.031,0.152,0,0,90,63,6,561,113,59.7046,9.252,3.7,1.38,1.3,0.287,0.636,0,0,0.94,0.118,0.046,0.14,35.1,0.229,0.093,81,0,0,776,146,409,668,115,509,271,429
¶¹Àà£¨Ð¡°×£©,336,21.11,1.18,62.25,24.9,0.102,0.507,0,0,173,183,12,1542,445,129.645,18.504,7.73,2.81,12.8,0.635,1.278,0,0,0,0.743,0.207,1.342,0,0.729,0.439,386,0,0,1685,317,888,1449,250,1104,588,932
ÄÉ¶¹,211,19.4,11,12.68,5.4,2.43,6.21,0,0,217,115,7,729,174,103.477,10.794,8.6,3.03,8.8,0.667,1.528,0,13,0.01,0.16,0.19,0,57,0.215,0.13,8,0,0,1509,208,813,1145,223,1018,512,931
´ó¶¹£¨ÂÌÉ«£©,147,12.95,6.8,11.05,4.2,1.284,3.2,0,0,197,65,15,620,194,65.3075,23.13,3.55,0.99,1.5,0.128,0.547,54,29,0,0.435,0.175,1.65,0,0.147,0.065,165,0,0,926,157,516,775,157,576,348,570
¶¹¸¯,78,9.04,4.17,2.85,0.9,1.127,1.649,0,0,201,37,12,148,121,31.6664,18.504,1.61,0.83,9.9,0.213,0.625,0,0.2,0.01,0.06,0.063,0.101,28.1,0.11,0.071,19,0,0.4,728,110,411,462,123,455,225,444
¿¾ôï,121,20.4,0.3,9.3,0.2,0,0.2,0,0,30,38,230,25,72,133.81,354.66,2.7,1.19,0,0.25,0.73,0,0,0.42,0.04,0.05,1.2,0,0,0,0,0,0,1203,179,411,261,293,618,322,586
Õ¨ËØÏº,582,27.6,44.4,19.3,2.7,4.456,11.39,0,0,251,110,1440,211,245,123.1,2220.48,6.3,2.49,4.3,0.37,1.03,8.1,0,50.79,0.04,0.02,1.6,106.3,0.14,0.099,27,0,0,1906,200,736,1357,254,600,576,1121
´ó¶¹£¨°×É«£©,333,23.36,0.85,60.27,15.2,0.074,0.364,0,0,240,190,16,1795,301,143.33,24.672,10.44,3.67,12.8,0.984,1.796,0,0,0.21,0.437,0.146,0.479,66.2,0.732,0.318,388,0,0,1865,351,983,1603,277,1222,650,1031
´ó¶¹,446,36.49,19.94,30.16,9.3,4.404,11.255,13,0,277,280,2,1797,704,292.584,3.084,15.7,4.89,17.8,1.658,2.517,6.6,6,0.85,0.874,0.87,1.623,115.9,0.793,0.377,375,0,2.1,3309,547,1766,2706,591,2029,1097,1971
ËØ¼¦,194,16.5,12.5,4.2,0.9,2.5,7.5,0,0,319,61,373.8,42,180,91.93,576.4,5.3,1.74,6.73,0.27,1.12,0,0,17.8,0.02,0.03,0.4,0,0,0,0,0,0,1393,168,640,1016,234,899,366,793
ºÚ¶¹,341,21.6,1.42,62.36,15.5,0.123,0.61,0,0,123,171,5,1483,352,132.716,7.71,5.02,3.65,3.2,0.841,1.06,5.1,0,0.21,0.9,0.193,1.955,66.4,0.899,0.286,444,0,0,1725,325,909,1483,256,1130,601,954
ËØ»ðÍÈ,213,19.1,13.2,4.8,0.9,2.7,7.1,0,0,8,25,675.9,24,115,0,1042.24,7.3,1.96,3.18,0.16,1.57,0,0,25.99,0.01,0.03,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ËØ´ó³¦,155,18.1,3.6,13,1,0,0,0,0,445,56,144.7,179,249,0,223.13,3.8,4.03,0,1.06,1.14,0,0,0,0.02,0.02,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¶¹¸¯¸É£¨³ô¸É£©,99,10.2,4.6,4.5,0.4,0.9,2.7,0,0,720,40,33.8,136,166,0,52.12,4.2,0.98,3.34,0.31,0.85,0,0,0,0.02,0.11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¶¹¸¯¸É£¨²Ë¸É£©,137,13.4,7.1,5,0.3,0,0,0,0,179,81,633.6,70,79,0,977.01,3,1.39,0.5,0.15,0.81,0,0,0.62,0.01,0.01,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¶¹¸¯¸É,142,16.2,3.6,11.5,0.8,0.7,2.1,0,0,308,64,76.5,140,273,87.05,117.96,4.9,1.76,0.02,0.77,1.31,155.4,0.7,0,0.03,0.07,0.3,0,0.415,0.286,92,0,0,1278,118,583,936,233,737,389,703
Ç§ÕÅ£¨°ÙÒ³£©,262,24.5,16,5.5,1,3.4,9,0,0,313,80,20.6,94,309,148.11,31.77,6.4,2.52,1.75,0.46,1.96,0,0,23.38,0.04,0.05,0.2,0,0,0,0,0,0,1719,248,830,1389,0,1067,599,1031
Ö¦Öñ,478,44.4,24.7,20.8,2.7,0,0,0,0,49,162,83,837,490,0.01,127.99,10.8,3.2,6.14,0.78,2.9,0,0,26.78,0.11,0.07,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¸¯Öñ,461,44.6,21.7,22.3,1,4.7,12.4,0,0,77,71,26.5,553,284,261.56,40.86,16.5,3.69,6.65,1.31,2.55,0,0,27.84,0.13,0.07,0.8,34.1,0,0,48.4,0,0,3518,502,1470,2646,572,2107,1257,2082
¶¹¸¯Ë¿£¨ÓÍ£©,304,24.2,17.1,14.5,2.2,2.1,6.1,0,0,152,93,769.4,208,423,93.88,1186.41,5,2.98,6.1,0.27,1.37,0,0,17.8,0.02,0.09,1.8,0,0,0,0,0,0,1815,151,682,1352,326,1194,565,1141
Ëá¶¹ÄÌ,67,2.2,1.2,11.8,0,0,0,0,0,32,16,18.6,70,22,0.01,28.68,0.4,0.21,0.2,0.08,0.12,0,0,1.11,0.06,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¶¹¸¯Ë¿£¨¸É£©,451,57.7,22.8,3.7,0,2.1,6.1,0,0,5,0,110,7,74,87.24,169.62,1.3,3.59,2.72,0.26,2.4,0,0,7.8,0.3,0.6,0,0,0,0,0,0,0,1331,120,484,981,218,883,403,822
¶¹¸¯Ë¿,203,21.5,10.5,6.2,1.1,2.1,6.1,0,0,204,127,20.6,74,220,87.21,31.77,9.1,2.04,1.39,0.29,1.71,0,0,9.76,0.04,0.12,0.5,0,0,0,0,0,0,1331,120,484,981,218,883,403,822
¶¹¸¯Æ¤,410,44.6,17.4,18.8,0.2,3.7,9.8,0,0,116,111,9.4,536,318,141.86,14.49,13.9,3.81,2.26,1.86,3.51,0,0,20.63,0.31,0.11,1.5,137,0,0,0,0,0,3703,0,1822,2686,571,2161,1096,2188
¶¹ÄÌ£¨¶¹Èé£©,30,2.4,1.5,1.8,0,0.3,0.9,0,0,23,7,3.2,92,35,24.14,4.93,0.6,0.24,0.73,5.57,0.11,0,0,4.5,0.02,0.06,0.3,0,0,0,0,0,0,109,39,63,106,44,83,41,61
¶¹¸¯,82,8.1,3.7,4.2,0.4,0.8,2.1,0,0,164,27,7.2,125,119,73.4,11.1,1.9,1.11,2.3,0.27,0.47,49.8,0,2.71,0.04,0.03,0.2,26.5,0.133,0.03,39.8,0,0,754,147,386,586,167,463,323,461
¶¹½¬,16,1.8,0.7,1.1,1.1,0.1,0.4,0,0,10,9,3,48,30,14.99,4.63,0.5,0.24,0.14,0.07,0.09,0,0,0.8,0.02,0.02,0.1,6.4,0,0,5,0,0,169,33,75,139,34,90,55,89
¶¹¸¯£¨ÄÚÖ¬£©,50,5,1.9,3.3,0.4,0.4,1.1,0,0,17,24,6.4,95,57,34.27,9.87,0.8,0.55,0.81,0.13,0.26,0,0,3.26,0.06,0.03,0.3,0,0,0,0,0,0,413,60,198,323,110,268,134,245
¶¹¸¯£¨ÄÏ·½£©,57,6.2,2.5,2.6,0.2,0.5,1.4,0,0,116,36,3.1,154,90,0.84,4.78,1.5,0.59,2.62,0.14,0.44,0,0,3.62,0.02,0.04,1,18.3,0,0.05,25.8,0,0,439,0,206,349,91,278,157,238
¶¹¸¯£¨±±·½£©,99,12.2,4.8,2,0.5,1,2.7,0,0,138,63,7.3,106,158,72.46,11.26,2.5,0.63,1.55,0.22,0.69,0,0,6.7,0.05,0.03,0.3,0,0,0,0,0,0,754,147,386,586,167,463,323,461
¶¹¸¯ÄÔ£¨ÀÏ¶¹¸¯£©,15,1.9,0.8,0,0,0.2,0.5,0,0,18,28,2.8,107,5,0,4.32,0.9,0.49,0,0.26,0.25,0,0,10.46,0.04,0.02,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¶¹ÆÉ£¨Åò»¯£©,333,36.6,0.7,48,5.9,0,0,0,0,144,60,3.3,950,161,64.28,5.09,9.8,3.17,2.78,1.23,1.78,0,0,1.14,0,0.11,5.8,0,0,0,0,0,0,2946,299,1431,2269,481,1882,930,1751
¶¹ÆÉ,325,42.5,2.1,37.9,7.6,0,0,0,0,154,158,76,1391,28,223.16,117.19,14.9,0.5,1.5,1.1,2.49,0,0,5.81,0.49,0.2,2.5,0,0,0,0,0,0,2754,269,1427,1796,519,1706,838,1546
¶¹½¬·Û,426,19.7,9.4,66.8,2.2,2,5.2,0,0,101,122,26.4,771,253,123.3,40.71,3.7,1.77,3.3,0.69,1.24,0,0,17.99,0.07,0.05,0.7,0,0,0,0,0,0,1700,145,873,1270,348,938,535,973
¶¹¸¯»¨,401,10,2.6,84.3,0,0.6,1.5,0,0,175,60,0,339,95,0,0,3.3,0.75,1.7,0.28,0.52,0,0,5,0.02,0.03,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
»Æ¶¹·Û,432,32.7,18.3,37.6,7,3.7,10.8,0,0,207,129,3.6,1890,395,188.42,5.55,8.1,3.89,2.47,1.39,2,36,0,33.69,0.31,0.22,2.5,0,1.59,0.461,345,0,0,2512,372,1147,2034,454,1744,695,1531
Çà¶¹,398,34.5,16,35.4,12.6,4.6,7.5,0,0,200,128,1.8,718,395,127.59,2.78,8.4,3.18,5.62,1.38,2.25,207,0,10.09,0.41,0.18,3,15.3,0.225,0.141,33,0,0,112,22,79,88,19,90,34,66
»Æ¶¹£¨´ó¶¹£©,390,35,16,34.2,15.5,3.5,9.1,13,0,191,199,2.2,1503,465,220.86,3.39,8.2,3.34,6.16,1.35,2.26,6.6,0,18.9,0.41,0.2,2.1,115.9,0.793,0.46,181.1,0,2.1,2819,385,1435,2237,455,1726,968,1853
ºÚ¶¹,401,36,15.9,33.6,10.2,4.1,8.4,0,0,224,243,3,1377,500,148.34,4.63,7,4.18,6.79,1.56,2.83,5.1,0,17.36,0.2,0.33,2,66.4,0.899,0.286,444,0,0,2681,398,1363,1955,370,1704,840,1463
ÓÍ¶¹¸¯,245,17,17.6,4.9,0.6,3,10.4,16,0,147,72,32.5,158,238,93.26,50.12,5.2,2.03,0.63,0.3,1.38,0,0,24.7,0.05,0.04,0.3,106.3,0,0,27,0,0,1359,163,581,956,234,825,375,793
Íã¶¹µí·Û,342,0.6,0,85,0.3,0,0,0,0,4,4,3.4,93,10,0,5.24,1.7,0.22,0,0.03,0.29,0,0,0,0.01,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Åº·Û,373,0.2,0,93,0.1,0,0,0,0,8,2,10.8,35,9,0,16.65,17.9,0.15,2.1,0.22,0.28,0,0,0,0,0.01,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ä§Óó¾«·Û,186,4.6,0.1,78.8,74.4,0,0,0,0,45,66,49.9,299,272,0,76.95,1.6,2.05,350.15,0.17,0.88,0,0,0,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
